,name,price,type,efficiency,wattage,modular,color
93,SeaSonic PRIME TX,52999.0,ATX,titanium,1600,Full,Black / Silver
94,EVGA SuperNOVA 1600 G2,67421.0,ATX,gold,1600,Full,
95,be quiet! Pure Power 12 M,16490.0,ATX,gold,1000,Full,Black
96,Corsair RM650,21598.0,ATX,gold,650,Full,Black
97,Cooler Master MasterWatt,8999.0,ATX,bronze,650,Semi,
98,ADATA XPG CORE Reactor 850,11999.0,ATX,gold,850,Full,Black
100,SeaSonic FOCUS Plus Platinum,18499.0,ATX,platinum,850,Full,
101,Phanteks Revolt SFX,9499.0,SFX,gold,650,Full,Black
102,EVGA GE,8999.0,ATX,gold,800,False,Black
103,Super Flower Leadex III Gold,13868.0,ATX,gold,750,Full,Black
104,be quiet! Pure Power 12 M,9900.0,ATX,gold,650,Full,Black
105,Corsair RM750 (2019),24995.0,ATX,gold,750,Full,Black
106,Corsair RM1000x,24689.0,ATX,gold,1000,Full,
107,Asus ROG THOR P2 Gaming,37999.0,ATX,platinum,1200,Full,Silver / Black
108,Logisys PS480D2,1698.0,ATX,,480,False,
109,Enermax REVOLUTION D.F. 2,10999.0,ATX,gold,850,Full,Black
111,EVGA 400 N1,4945.0,ATX,,400,False,
112,EVGA GE,7998.0,ATX,gold,700,False,Black
114,SeaSonic PRIME PX-1300,33000.0,ATX,platinum,1300,Full,Black
115,NZXT C1200,21999.0,ATX,gold,1200,Full,Black
116,be quiet! Dark Power 13,28989.0,ATX,titanium,1000,Full,Black
118,SeaSonic VERTEX GX-1200,28999.0,ATX,gold,1200,Full,Black / Silver
119,SeaSonic FOCUS Plus Platinum,15999.0,ATX,platinum,750,Full,
120,Corsair RM750x White (2018),24800.0,ATX,gold,750,Full,White / Black
121,SeaSonic FOCUS GX,16698.0,ATX,gold,850,Full,Black
122,Asus TUF Gaming 850G,12999.0,ATX,gold,850,Full,Black
123,Corsair HX1000i (2022),35799.0,ATX,platinum,1000,Full,Black
124,Corsair SF600,23900.0,SFX,platinum,600,Full,Black
125,Thermaltake TOUGHPOWER GF A3,8999.0,ATX,gold,750,Full,Black
126,be quiet! Dark Power Pro 13,45990.0,ATX,titanium,1600,Full,Black
127,be quiet! Pure Power 12 M,13490.0,ATX,gold,850,Full,Black
128,SeaSonic FOCUS GX,14597.999999999998,ATX,gold,750,Full,Black
129,EVGA 850 BQ,11814.0,ATX,bronze,850,Semi,
130,Cooler Master V850 SFX GOLD,12999.0,SFX,gold,850,Full,White
131,EVGA 550 BP,5999.0,ATX,bronze,550,False,Black
132,EVGA SuperNOVA 1300 GT,21999.0,ATX,gold,1300,Full,Black
133,Asus ROG-STRIX-850G,17863.0,ATX,gold,850,Full,Black
134,Thermaltake Toughpower GF3 TT Premium,26999.0,ATX,gold,1650,Full,Black
135,EVGA GE,6998.0,ATX,gold,500,False,Black
136,Thermaltake Toughpower GF1 PE,11998.0,ATX,gold,650,Full,
137,Thermaltake Smart BX1,7980.0,ATX,bronze,750,False,Black
138,EVGA SuperNOVA 750 G5,14497.999999999998,ATX,gold,750,Full,Black / Green
139,EVGA SuperNOVA 1600 T2,49999.0,ATX,titanium,1600,Full,
140,Silverstone SFX,11299.0,SFX,gold,500,Full,
141,Super Flower Leadex V Pro,29999.0,ATX,platinum,1000,Full,White
143,SeaSonic FOCUS GX,25348.0,ATX,gold,1000,Full,Black
144,Corsair SF850L,15999.0,SFX,gold,850,Full,Black
145,be quiet! System Power 10,18181.0,ATX,gold,850,False,Black
146,Silverstone SX1000-LPT,25021.0,SFX,platinum,1000,Full,Black
148,be quiet! System Power 10,10148.0,ATX,bronze,450,False,Black
149,be quiet! Straight Power 11 750W,13599.0,ATX,gold,750,Full,
150,be quiet! Dark Power 13,24990.0,ATX,titanium,850,Full,Black
152,Asus ROG Strix,29200.0,ATX,gold,750,Full,Black / Red
153,Thermaltake Smart Pro RGB,11957.0,ATX,bronze,750,Full,
155,Apevia Signature,7198.0,ATX,bronze,1050,Semi,Black
156,Gigabyte P450B,8998.0,ATX,bronze,450,False,Black
157,Deepcool PM750D,9799.0,ATX,gold,750,False,Black
160,CoolMax I-500,2411.0,ATX,,500,False,
163,Fractal Design Ion Gold,20900.0,ATX,gold,550,Full,Black
165,EVGA SuperNOVA 1600 P+,30499.0,ATX,platinum,1600,Full,Black
166,Phanteks AMP v2,17999.0,ATX,gold,1000,Full,White
167,Corsair CX450M (2015),13679.0,ATX,bronze,450,Semi,
168,EVGA SuperNOVA 850 P6,18863.0,ATX,platinum,850,Full,Black / Silver
169,EVGA SuperNOVA 850 T2,23400.0,ATX,titanium,850,Full,
171,Super Flower Leadex Titanium,79999.0,ATX,titanium,1600,Full,Black
172,Corsair HX750 Platinum,29499.0,ATX,platinum,750,Full,
174,Silverstone SFX,22398.0,SFX,titanium,800,Full,
175,Thermaltake Toughpower GF3 TT Premium,16999.0,ATX,gold,1000,Full,Black
176,be quiet! Pure Power 11,8929.0,ATX,gold,400,False,Black
177,Corsair CX750F,15999.0,ATX,bronze,750,Full,White / Black
178,Corsair RM850x (2018),18799.0,ATX,gold,850,Full,Black
179,SeaSonic FOCUS GX,13297.999999999998,ATX,gold,650,Full,Black
180,Corsair RM750x (2018),18695.0,ATX,gold,750,Full,Black
182,EVGA 550 B5,7998.0,ATX,bronze,550,Full,Black
183,Deepcool PM850D,9898.0,ATX,gold,850,False,Black
184,EVGA 850 GQ,14500.0,ATX,gold,850,Semi,
185,GameMax RGB Rainbow,9999.0,ATX,gold,850,Full,Black
186,Thermaltake Toughpower GF1 ARGB,9599.0,ATX,gold,650,Full,
187,Gigabyte P550B,6998.999999999999,ATX,bronze,550,False,Black
188,Phanteks Revolt SFX,10499.0,SFX,gold,750,Full,Black
189,Cooler Master V750 V2,15999.0,ATX,gold,750,Full,White
191,be quiet! System Power 10,9809.0,ATX,bronze,650,False,Black
193,SeaSonic S12III,7198.0,ATX,bronze,500,False,Black
194,Corsair CX650M,22495.0,ATX,bronze,650,Semi,
195,SeaSonic VERTEX GX-1000,24443.0,ATX,gold,1000,Full,Black / Silver
196,NZXT C1000 (2022),21967.0,ATX,gold,1000,Full,Black
197,Corsair CX550F,13679.0,ATX,bronze,550,Full,Black
198,Deepcool PQ750M,10999.0,ATX,gold,750,Full,Black
199,Thermaltake Toughpower GF3 TT Premium,12799.0,ATX,gold,850,Full,Black
201,MSI MEG Ai1000P PCIE5,27999.0,ATX,platinum,1000,Full,Black / Copper
202,Gigabyte P650G (US),6998.0,ATX,gold,650,False,Black
203,EVGA SuperNOVA 1000 G6,23199.0,ATX,gold,1000,Full,Black
206,Super Flower Leadex V Platinum Pro,30868.0,ATX,platinum,1000,Full,White
207,EVGA 850 B5,13888.0,ATX,bronze,850,Full,Black
208,be quiet! Dark Power Pro 13,41990.0,ATX,titanium,1300,Full,Black
209,be quiet! Straight Power 11,14990.0,ATX,platinum,750,Full,Black
210,Thermaltake Toughpower GF3 TT Premium,19999.0,ATX,gold,1200,Full,Black
211,Corsair RM750,24495.0,ATX,gold,750,Full,Black
212,be quiet! System Power 10,18800.0,ATX,bronze,750,False,Black
214,Thermaltake Toughpower GF1 Snow - TT Premium,12299.0,ATX,gold,750,Full,White
216,be quiet! System Power 10,8539.0,ATX,bronze,550,False,Black
217,EVGA GE,6998.0,ATX,gold,600,False,Black
218,Silverstone Essential,10592.0,ATX,bronze,550,False,Black
219,SeaSonic FOCUS PX,19098.0,ATX,platinum,850,Full,Black
220,Corsair CX550 (2017),9999.0,ATX,bronze,550,False,
221,EVGA SuperNOVA 850 G6,15999.0,ATX,gold,850,Full,Black
222,Deepcool PQ1000M,15999.0,ATX,gold,1000,Full,Black
224,Corsair RM650 (2019),23424.0,ATX,gold,650,Full,Black
225,Lian Li SP850,14096.0,SFX,gold,850,Full,Black
226,Asus ROG LOKI,21099.0,SFX,platinum,850,Full,Black / Silver
227,Super Flower Leadex III ARGB,16868.0,ATX,gold,650,Full,White
229,EVGA 750 GQ,14826.0,ATX,gold,750,Semi,
231,ADATA XPG CORE Reactor 650,9999.0,ATX,gold,650,Full,Black
232,EVGA 600 BQ,15999.0,ATX,bronze,600,Semi,
233,Asus TUF Gaming 750G,12399.0,ATX,gold,750,Full,Black
235,be quiet! System Power 9 500 CM,9829.0,ATX,bronze,500,Semi,Black
236,Corsair AX1200i,65773.0,ATX,platinum,1200,Full,
237,Thermaltake TOUGHPOWER GF A3,12999.0,ATX,gold,850,Full,Black
238,SeaSonic PRIME Ultra Titanium,33898.0,ATX,titanium,1000,Full,
239,be quiet! Pure Power 11,7859.0,ATX,gold,500,False,Black
240,Thermaltake TOUGHPOWER GF A3,15999.0,ATX,gold,1050,Full,Black
242,Super Flower Leadex III ARGB,19999.0,ATX,gold,850,Full,White
243,ADATA XPG CORE Reactor 750,10999.0,ATX,gold,750,Full,Black
244,Cooler Master Elite V3,6768.000000000001,ATX,plus,600,False,Black
245,be quiet! Pure Power 12 M,9490.0,ATX,gold,550,Full,Black
247,Gigabyte AORUS P GM,16409.0,ATX,gold,750,Full,Black / Silver
248,Thermaltake Smart RGB 230V,16800.0,ATX,plus,500,False,Black
252,Cooler Master V650 V2,13499.0,ATX,gold,650,Full,White
253,Thermaltake Toughpower GX1,8036.0,ATX,gold,600,False,Black
254,SeaSonic FOCUS GX,17661.0,ATX,gold,550,Full,Black
255,Thermaltake Toughpower GF3 TT Premium,12699.0,ATX,gold,750,Full,Black
257,Corsair RM850,22699.0,ATX,gold,850,Full,Black
258,Corsair RM650x (2018),17500.0,ATX,gold,650,Full,Black / Silver
259,SeaSonic FOCUS,14699.0,ATX,gold,850,Semi,Black
261,Super Flower Leadex V Platinum Pro,24999.0,ATX,platinum,850,Full,White
262,SeaSonic G12 GM,12582.0,ATX,gold,650,Semi,Black / Blue
263,EVGA SuperNOVA 850 G2,35599.0,ATX,gold,850,Full,
264,Thermaltake Toughpower GF3 TT Premium,24121.0,ATX,gold,1350,Full,Black
265,Thermaltake TOUGHPOWER GF A3,17999.0,ATX,gold,1200,Full,Black
267,Cooler Master MasterWatt 550,8499.0,ATX,bronze,550,Semi,
270,EVGA SuperNOVA 1000 G5,20750.0,ATX,gold,1000,Full,Black / Green
272,FSP Group Hydro GE,10999.0,ATX,gold,650,Full,
274,be quiet! Pure Power 11 600,12400.0,ATX,gold,600,Semi,Black
275,EVGA SuperNOVA 1000 G+,31700.0,ATX,gold,1000,Full,Black
276,EVGA SuperNOVA 750 G6,13928.0,ATX,gold,750,Full,Black
278,FSP Group Hydro GE,8999.0,ATX,gold,550,Full,
279,EVGA SuperNOVA 650 P2,14499.0,ATX,platinum,650,Full,
280,Fractal Design Ion Gold,15429.0,ATX,gold,850,Full,Black
282,be quiet! Dark Power 13,20990.0,ATX,titanium,750,Full,Black
283,Apevia Prestige,7498.0,ATX,gold,1000,False,Black
284,Silverstone HELA 1200R,23829.0,ATX,platinum,1200,Full,Black
288,Raidmax RX-530SS,4999.0,ATX,,530,Semi,
290,EVGA 650BP,7498.999999999999,ATX,bronze,650,False,Black
