name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte Z590I AORUS ULTRA,12099.0,LGA1200,Mini ITX,64,2,Black
MSI Z490-A PRO,21716.0,LGA1200,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z790 APEX,119949.0,LGA1700,ATX,64,2,Silver / Black
MSI MEG Z790 ACE,57999.0,LGA1700,EATX,128,4,Gold / Black
Asus ROG STRIX Z690-G GAMING WIFI,28400.0,LGA1700,Micro ATX,128,4,Black / Silver
ASRock A620M Pro RS,11499.0,AM5,Micro ATX,128,4,Silver / Black
Gigabyte B450M K,10275.0,AM4,Micro ATX,64,2,Brown / Silver
Asus TUF GAMING B660-PLUS WIFI D4,23064.0,LGA1700,ATX,128,4,Yellow / Black
Gigabyte X570S AORUS MASTER,24999.0,AM4,ATX,128,4,Black / Silver
ASRock X670E Pro RS,26899.0,AM5,ATX,128,4,Black
ASRock H370M-ITX/ac,9999.0,LGA1151,Mini ITX,32,2,Black / Silver
Asus PRIME X670-P WIFI,27299.0,AM5,ATX,128,4,Silver / Black
Gigabyte B760I AORUS PRO DDR4,17999.0,LGA1700,Mini ITX,64,2,Black / Gray
Asus PRIME H610M-K D4,10632.0,LGA1700,Micro ATX,64,2,Silver / Black
Asus ROG STRIX B760-F GAMING WIFI,26999.0,LGA1700,ATX,128,4,Black
NZXT N7 B550,24999.0,AM4,ATX,128,4,Black
ASRock Z790 Steel Legend WiFi,22999.0,LGA1700,ATX,128,4,Silver / Black
Asus TUF GAMING B550-PRO,17038.0,AM4,ATX,128,4,Black
ASRock H610M-HVS,7998.0,LGA1700,Micro ATX,64,2,Gray / Black
Asus TUF GAMING B760-PLUS WIFI D4,19999.0,LGA1700,ATX,128,4,Black / Orange
Gigabyte A520 AORUS ELITE,11105.0,AM4,ATX,128,4,Black / Orange
Gigabyte A520M DS3H,9494.0,AM4,Micro ATX,128,4,Black
Asus PRIME X570-P,25898.0,AM4,ATX,128,4,Black / White
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),23346.0,AM4,ATX,64,4,Black / Silver
MSI MPG X570S CARBON MAX WIFI,25999.0,AM4,ATX,128,4,Black / Silver
Asus PRIME Z790M-PLUS,19699.0,LGA1700,Micro ATX,128,4,Silver / Black
ASRock X670E Taichi Carrara,52299.0,AM5,EATX,128,4,Black / White
