name,price,price_per_gb,color,first_word_latency,cas_latency,speed_num,speed_value,modules_num,modules_value
Klevv BOLT X 16 GB,3399.0,212.4,Black,10.0,18.0,4,3600,2,8
G.Skill Trident Z RGB 32 GB,12825.0,400.8,Black,8.636,19.0,4,4400,2,16
G.Skill Trident Z Neo 64 GB,26637.0,416.2,Black / Silver,8.889,16.0,4,3600,4,16
Corsair Vengeance LPX 16 GB,3999.0,249.9,Black,10.667,16.0,4,3000,1,16
Samsung M378B5173DB0-CK0 4 GB,1013.0,253.29999999999998,Green,13.75,11.0,3,1600,1,4
Corsair Vengeance 32 GB,10999.0,343.7,White,12.857,36.0,5,5600,2,16
Kingston Fury Renegade RGB 16 GB,5999.0,374.90000000000003,Black,8.889,16.0,4,3600,2,8
Kingston FURY Beast 32 GB,8952.0,279.7,Black,10.0,18.0,4,3600,2,16
Timetec PINNACLE Konduit 16 GB,3599.0,224.9,White,10.0,16.0,4,3200,2,8
Corsair Vengeance LPX 16 GB,4499.0,281.2,Black / Yellow,13.333,16.0,4,2400,2,8
Corsair Vengeance 64 GB,21999.0,343.7,Gray,12.857,36.0,5,5600,4,16
Kingston FURY Beast 32 GB,11999.0,375.0,Black / Silver,15.385,40.0,5,5200,2,16
Kingston FURY Beast 16 GB,6498.999999999999,406.20000000000005,Black,15.385,40.0,5,5200,2,8
TEAMGROUP TED48G2400C1601 8 GB,1599.0,199.9,,13.333,16.0,4,2400,1,8
Silicon Power XPOWER Turbine RGB 16 GB,3999.0,249.9,Silver / Black,10.0,16.0,4,3200,2,8
Corsair Vengeance RGB RS 16 GB,5999.0,374.90000000000003,Black / Gray,10.0,16.0,4,3200,2,8
Corsair Dominator Platinum RGB 32 GB,15999.0,500.0,Black,10.0,30.0,5,6000,2,16
ADATA XPG Z1 16 GB,3599.0,224.9,Red,10.0,16.0,4,3200,2,8
Corsair Dominator Platinum RGB 32 GB,14999.0,468.70000000000005,White,12.857,36.0,5,5600,2,16
Corsair Vengeance RGB Pro 64 GB,169093.0,2642.1,Black,10.0,16.0,4,3200,4,16
Corsair Vengeance LPX 64 GB,15400.0,240.60000000000002,Black / Yellow,10.0,16.0,4,3200,4,16
Kingston FURY Renegade 16 GB,22120.0,1382.5,Black,7.5,20.0,4,5333,2,8
PNY XLR8 16 GB,6099.0,381.2,Black,10.0,18.0,4,3600,2,8
G.Skill Trident Z RGB 32 GB,9799.0,306.2,Black,9.0,18.0,4,4000,2,16
G.Skill TridentZ RGB 32 GB,20347.0,635.8,Black,8.333,20.0,4,4800,2,16
Corsair Vengeance RGB Pro 32 GB,6498.999999999999,203.10000000000002,Black,10.667,16.0,4,3000,2,16
Corsair Vengeance RGB 64 GB,21799.0,340.6,Black,10.0,30.0,5,6000,2,32
Corsair Vengeance RGB Pro SL 32 GB,11699.0,365.6,White,10.0,18.0,4,3600,4,8
Corsair Vengeance RGB Pro 32 GB,11034.0,344.8,Black,10.0,16.0,4,3200,2,16
Crucial CT16G4DFRA32A 16 GB,2899.0,181.20000000000002,Green,13.75,22.0,4,3200,1,16
Corsair Vengeance RGB Pro SL 16 GB,6798.0,424.9,Black,10.0,18.0,4,3600,2,8
G.Skill Trident Z5 Neo RGB 32 GB,10699.0,334.3,Black,12.0,36.0,5,6000,2,16
Crucial CT16G48C40U5 16 GB,3999.0,249.9,Black,16.667,40.0,5,4800,1,16
TEAMGROUP Elite 16 GB,2999.0,187.4,Black,13.75,22.0,4,3200,2,8
TEAMGROUP T-Force Delta RGB 32 GB,6698.0,209.3,White,10.0,16.0,4,3200,2,16
G.Skill Ripjaws V 8 GB,6998.0,874.8,Red,12.5,15.0,4,2400,1,8
ADATA XPG LANCER RGB 32 GB,10999.0,343.7,White,13.333,40.0,5,6000,2,16
Kingston FURY Beast 16 GB,3999.0,249.9,Black,10.0,16.0,4,3200,1,16
